policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,max_teacher_std,max_prediction_range,n_candidates_generated,acceptance_rate,mean_teacher_std,mean_prediction_range,mean_nearest_train_similarity,feature_kind,n_features,model,selected_policy,split,metric,value,fold_index,train_fraction,split_method,group_column,heldout_group_value
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,35.0,15,0.6,3.9096630486435253,9.91166396299998,0.8277221586969163,reaction_role_concat,6144,random_forest,False,valid,rmse,19.163491234436698,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,35.0,15,0.6,3.9096630486435253,9.91166396299998,0.8277221586969163,reaction_role_concat,6144,random_forest,False,valid,mae,15.16063805646836,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,35.0,15,0.6,3.9096630486435253,9.91166396299998,0.8277221586969163,reaction_role_concat,6144,random_forest,False,valid,r2,0.4957911734757382,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,35.0,15,0.6,3.9096630486435253,9.91166396299998,0.8277221586969163,reaction_role_concat,6144,random_forest,False,valid,spearman,0.736243005298554,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,35.0,15,0.6666666666666666,4.622808263669716,11.787060071647167,0.8285672605037689,reaction_role_concat,6144,random_forest,False,valid,rmse,20.18086531741092,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,35.0,15,0.6666666666666666,4.622808263669716,11.787060071647167,0.8285672605037689,reaction_role_concat,6144,random_forest,False,valid,mae,15.86513766825199,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,35.0,15,0.6666666666666666,4.622808263669716,11.787060071647167,0.8285672605037689,reaction_role_concat,6144,random_forest,False,valid,r2,0.4408340116210411,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,35.0,15,0.6666666666666666,4.622808263669716,11.787060071647167,0.8285672605037689,reaction_role_concat,6144,random_forest,False,valid,spearman,0.6809965348064897,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,4,1.1290322580645162,False,1.0,1.0,1.0,8.0,35.0,15,0.26666666666666666,3.1952228921680996,8.697179306745529,0.7970824539661407,reaction_role_concat,6144,random_forest,False,valid,rmse,19.527164211665976,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,4,1.1290322580645162,False,1.0,1.0,1.0,8.0,35.0,15,0.26666666666666666,3.1952228921680996,8.697179306745529,0.7970824539661407,reaction_role_concat,6144,random_forest,False,valid,mae,15.403229178271717,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,4,1.1290322580645162,False,1.0,1.0,1.0,8.0,35.0,15,0.26666666666666666,3.1952228921680996,8.697179306745529,0.7970824539661407,reaction_role_concat,6144,random_forest,False,valid,r2,0.47647245568967045,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,4,1.1290322580645162,False,1.0,1.0,1.0,8.0,35.0,15,0.26666666666666666,3.1952228921680996,8.697179306745529,0.7970824539661407,reaction_role_concat,6144,random_forest,False,valid,spearman,0.724375002644182,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,6,1.1935483870967742,False,1.0,1.0,1.0,8.0,35.0,15,0.4,4.492148181033621,11.024295936226844,0.8207494020462036,reaction_role_concat,6144,random_forest,False,valid,rmse,19.412191224107747,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,6,1.1935483870967742,False,1.0,1.0,1.0,8.0,35.0,15,0.4,4.492148181033621,11.024295936226844,0.8207494020462036,reaction_role_concat,6144,random_forest,False,valid,mae,15.295195642673516,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,6,1.1935483870967742,False,1.0,1.0,1.0,8.0,35.0,15,0.4,4.492148181033621,11.024295936226844,0.8207494020462036,reaction_role_concat,6144,random_forest,False,valid,r2,0.4826192085812422,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,6,1.1935483870967742,False,1.0,1.0,1.0,8.0,35.0,15,0.4,4.492148181033621,11.024295936226844,0.8207494020462036,reaction_role_concat,6144,random_forest,False,valid,spearman,0.7273340681984478,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,8,1.2580645161290323,False,1.0,1.0,1.0,8.0,50.0,15,0.5333333333333333,4.533497161361524,11.574028093367815,0.8375335037708282,reaction_role_concat,6144,random_forest,False,valid,rmse,19.82013905102145,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,8,1.2580645161290323,False,1.0,1.0,1.0,8.0,50.0,15,0.5333333333333333,4.533497161361524,11.574028093367815,0.8375335037708282,reaction_role_concat,6144,random_forest,False,valid,mae,15.661595030013519,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,8,1.2580645161290323,False,1.0,1.0,1.0,8.0,50.0,15,0.5333333333333333,4.533497161361524,11.574028093367815,0.8375335037708282,reaction_role_concat,6144,random_forest,False,valid,r2,0.46064516872527783,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,8,1.2580645161290323,False,1.0,1.0,1.0,8.0,50.0,15,0.5333333333333333,4.533497161361524,11.574028093367815,0.8375335037708282,reaction_role_concat,6144,random_forest,False,valid,spearman,0.7057303192610654,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,50.0,15,0.6,3.9096630486435253,9.91166396299998,0.8277221586969163,reaction_role_concat,6144,random_forest,False,valid,rmse,19.163491234436698,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,50.0,15,0.6,3.9096630486435253,9.91166396299998,0.8277221586969163,reaction_role_concat,6144,random_forest,False,valid,mae,15.16063805646836,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,50.0,15,0.6,3.9096630486435253,9.91166396299998,0.8277221586969163,reaction_role_concat,6144,random_forest,False,valid,r2,0.4957911734757382,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,50.0,15,0.6,3.9096630486435253,9.91166396299998,0.8277221586969163,reaction_role_concat,6144,random_forest,False,valid,spearman,0.736243005298554,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,50.0,15,0.6666666666666666,4.622808263669716,11.787060071647167,0.8285672605037689,reaction_role_concat,6144,random_forest,False,valid,rmse,20.18086531741092,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,50.0,15,0.6666666666666666,4.622808263669716,11.787060071647167,0.8285672605037689,reaction_role_concat,6144,random_forest,False,valid,mae,15.86513766825199,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,50.0,15,0.6666666666666666,4.622808263669716,11.787060071647167,0.8285672605037689,reaction_role_concat,6144,random_forest,False,valid,r2,0.4408340116210411,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,50.0,15,0.6666666666666666,4.622808263669716,11.787060071647167,0.8285672605037689,reaction_role_concat,6144,random_forest,False,valid,spearman,0.6809965348064897,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,4,1.1290322580645162,False,1.0,1.0,1.0,8.0,50.0,15,0.26666666666666666,3.1952228921680996,8.697179306745529,0.7970824539661407,reaction_role_concat,6144,random_forest,False,valid,rmse,19.527164211665976,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,4,1.1290322580645162,False,1.0,1.0,1.0,8.0,50.0,15,0.26666666666666666,3.1952228921680996,8.697179306745529,0.7970824539661407,reaction_role_concat,6144,random_forest,False,valid,mae,15.403229178271717,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,4,1.1290322580645162,False,1.0,1.0,1.0,8.0,50.0,15,0.26666666666666666,3.1952228921680996,8.697179306745529,0.7970824539661407,reaction_role_concat,6144,random_forest,False,valid,r2,0.47647245568967045,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,4,1.1290322580645162,False,1.0,1.0,1.0,8.0,50.0,15,0.26666666666666666,3.1952228921680996,8.697179306745529,0.7970824539661407,reaction_role_concat,6144,random_forest,False,valid,spearman,0.724375002644182,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,6,1.1935483870967742,False,1.0,1.0,1.0,8.0,50.0,15,0.4,4.492148181033621,11.024295936226844,0.8207494020462036,reaction_role_concat,6144,random_forest,False,valid,rmse,19.412191224107747,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,6,1.1935483870967742,False,1.0,1.0,1.0,8.0,50.0,15,0.4,4.492148181033621,11.024295936226844,0.8207494020462036,reaction_role_concat,6144,random_forest,False,valid,mae,15.295195642673516,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,6,1.1935483870967742,False,1.0,1.0,1.0,8.0,50.0,15,0.4,4.492148181033621,11.024295936226844,0.8207494020462036,reaction_role_concat,6144,random_forest,False,valid,r2,0.4826192085812422,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,6,1.1935483870967742,False,1.0,1.0,1.0,8.0,50.0,15,0.4,4.492148181033621,11.024295936226844,0.8207494020462036,reaction_role_concat,6144,random_forest,False,valid,spearman,0.7273340681984478,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,9,1.2903225806451613,False,1.0,1.0,1.0,12.0,25.0,15,0.6,5.009392459118103,12.703097904655667,0.8347520033518473,reaction_role_concat,6144,random_forest,False,valid,rmse,19.5360308849515,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,9,1.2903225806451613,False,1.0,1.0,1.0,12.0,25.0,15,0.6,5.009392459118103,12.703097904655667,0.8347520033518473,reaction_role_concat,6144,random_forest,False,valid,mae,15.389922009244751,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,9,1.2903225806451613,False,1.0,1.0,1.0,12.0,25.0,15,0.6,5.009392459118103,12.703097904655667,0.8347520033518473,reaction_role_concat,6144,random_forest,False,valid,r2,0.4759969128486796,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,9,1.2903225806451613,False,1.0,1.0,1.0,12.0,25.0,15,0.6,5.009392459118103,12.703097904655667,0.8347520033518473,reaction_role_concat,6144,random_forest,False,valid,spearman,0.7158302043033861,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,10,1.3225806451612903,False,1.0,1.0,1.0,12.0,25.0,15,0.6666666666666666,4.387483310760763,11.12535722988844,0.8223308980464935,reaction_role_concat,6144,random_forest,False,valid,rmse,19.111771326923233,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,10,1.3225806451612903,False,1.0,1.0,1.0,12.0,25.0,15,0.6666666666666666,4.387483310760763,11.12535722988844,0.8223308980464935,reaction_role_concat,6144,random_forest,False,valid,mae,15.045535487991344,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,10,1.3225806451612903,False,1.0,1.0,1.0,12.0,25.0,15,0.6666666666666666,4.387483310760763,11.12535722988844,0.8223308980464935,reaction_role_concat,6144,random_forest,False,valid,r2,0.4985090961540607,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,10,1.3225806451612903,False,1.0,1.0,1.0,12.0,25.0,15,0.6666666666666666,4.387483310760763,11.12535722988844,0.8223308980464935,reaction_role_concat,6144,random_forest,False,valid,spearman,0.7516620423993322,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,11,1.3548387096774193,False,1.0,1.0,1.0,12.0,25.0,15,0.7333333333333333,4.9833335625705635,12.75005806809122,0.823087751865387,reaction_role_concat,6144,random_forest,False,valid,rmse,20.06757572040145,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,11,1.3548387096774193,False,1.0,1.0,1.0,12.0,25.0,15,0.7333333333333333,4.9833335625705635,12.75005806809122,0.823087751865387,reaction_role_concat,6144,random_forest,False,valid,mae,15.698435989992527,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,11,1.3548387096774193,False,1.0,1.0,1.0,12.0,25.0,15,0.7333333333333333,4.9833335625705635,12.75005806809122,0.823087751865387,reaction_role_concat,6144,random_forest,False,valid,r2,0.4470943855544679,0,0.01,random,,
