policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,max_teacher_std,max_prediction_range,n_candidates_generated,acceptance_rate,mean_teacher_std,mean_prediction_range,mean_nearest_train_similarity,feature_kind,n_features,model,selected_policy,split,metric,value,fold_index,train_fraction,split_method,group_column,heldout_group_value
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,25.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,mae,22.548466890576517,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,25.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,r2,0.029271341566586284,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,25.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,spearman,0.2740940923292497,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,25.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,rmse,27.3190729250695,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,25.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,mae,22.268169296988958,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,25.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,r2,0.02746581930253711,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,25.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,spearman,0.29610903844494896,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,35.0,15,0.7333333333333333,2.2282646345208836,5.77478674119169,0.840371776710857,reaction_role_concat,6144,random_forest,False,valid,rmse,26.52611818895559,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,35.0,15,0.7333333333333333,2.2282646345208836,5.77478674119169,0.840371776710857,reaction_role_concat,6144,random_forest,False,valid,mae,21.748821586845796,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,35.0,15,0.7333333333333333,2.2282646345208836,5.77478674119169,0.840371776710857,reaction_role_concat,6144,random_forest,False,valid,r2,0.08310340538586503,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,35.0,15,0.7333333333333333,2.2282646345208836,5.77478674119169,0.840371776710857,reaction_role_concat,6144,random_forest,False,valid,spearman,0.32933641220428317,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,35.0,15,0.8666666666666667,3.7086656730635497,9.584385889906148,0.801306820832766,reaction_role_concat,6144,random_forest,False,valid,rmse,27.847499904643982,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,35.0,15,0.8666666666666667,3.7086656730635497,9.584385889906148,0.801306820832766,reaction_role_concat,6144,random_forest,False,valid,mae,23.070740204050573,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,35.0,15,0.8666666666666667,3.7086656730635497,9.584385889906148,0.801306820832766,reaction_role_concat,6144,random_forest,False,valid,r2,-0.010521088857525562,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,35.0,15,0.8666666666666667,3.7086656730635497,9.584385889906148,0.801306820832766,reaction_role_concat,6144,random_forest,False,valid,spearman,0.24330416897397564,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,35.0,15,0.8666666666666667,4.0210965191587835,10.100821622610093,0.8157120667971097,reaction_role_concat,6144,random_forest,False,valid,rmse,27.47402680951678,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,35.0,15,0.8666666666666667,4.0210965191587835,10.100821622610093,0.8157120667971097,reaction_role_concat,6144,random_forest,False,valid,mae,22.762326142166238,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,35.0,15,0.8666666666666667,4.0210965191587835,10.100821622610093,0.8157120667971097,reaction_role_concat,6144,random_forest,False,valid,r2,0.016402096229763963,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,35.0,15,0.8666666666666667,4.0210965191587835,10.100821622610093,0.8157120667971097,reaction_role_concat,6144,random_forest,False,valid,spearman,0.26730342599623186,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,35.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,rmse,27.29370203843673,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,35.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,mae,22.548466890576517,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,35.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,r2,0.029271341566586284,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,35.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,spearman,0.2740940923292497,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,35.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,rmse,27.3190729250695,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,35.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,mae,22.268169296988958,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,35.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,r2,0.02746581930253711,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_35__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,35.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,spearman,0.29610903844494896,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,50.0,15,0.7333333333333333,2.2282646345208836,5.77478674119169,0.840371776710857,reaction_role_concat,6144,random_forest,False,valid,rmse,26.52611818895559,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,50.0,15,0.7333333333333333,2.2282646345208836,5.77478674119169,0.840371776710857,reaction_role_concat,6144,random_forest,False,valid,mae,21.748821586845796,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,50.0,15,0.7333333333333333,2.2282646345208836,5.77478674119169,0.840371776710857,reaction_role_concat,6144,random_forest,False,valid,r2,0.08310340538586503,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,50.0,15,0.7333333333333333,2.2282646345208836,5.77478674119169,0.840371776710857,reaction_role_concat,6144,random_forest,False,valid,spearman,0.32933641220428317,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,50.0,15,0.8666666666666667,3.7086656730635497,9.584385889906148,0.801306820832766,reaction_role_concat,6144,random_forest,False,valid,rmse,27.847499904643982,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,50.0,15,0.8666666666666667,3.7086656730635497,9.584385889906148,0.801306820832766,reaction_role_concat,6144,random_forest,False,valid,mae,23.070740204050573,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,50.0,15,0.8666666666666667,3.7086656730635497,9.584385889906148,0.801306820832766,reaction_role_concat,6144,random_forest,False,valid,r2,-0.010521088857525562,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,50.0,15,0.8666666666666667,3.7086656730635497,9.584385889906148,0.801306820832766,reaction_role_concat,6144,random_forest,False,valid,spearman,0.24330416897397564,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,50.0,15,0.8666666666666667,4.0210965191587835,10.100821622610093,0.8157120667971097,reaction_role_concat,6144,random_forest,False,valid,rmse,27.47402680951678,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,50.0,15,0.8666666666666667,4.0210965191587835,10.100821622610093,0.8157120667971097,reaction_role_concat,6144,random_forest,False,valid,mae,22.762326142166238,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,50.0,15,0.8666666666666667,4.0210965191587835,10.100821622610093,0.8157120667971097,reaction_role_concat,6144,random_forest,False,valid,r2,0.016402096229763963,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,13,1.4193548387096775,False,1.0,1.0,1.0,8.0,50.0,15,0.8666666666666667,4.0210965191587835,10.100821622610093,0.8157120667971097,reaction_role_concat,6144,random_forest,False,valid,spearman,0.26730342599623186,0,0.01,random,,
